,name,team,minutes
8,Karl Darlow,Newcastle,0.0
13,Loris Karius,Newcastle,0.0
16,Mark Gillespie,Newcastle,0.0
17,Martin Dubravka,Newcastle,0.0
32,Emiliano Martínez Romero,Aston Villa,90.0
55,Robin Olsen,Aston Villa,0.0
57,Viljami Sinisalo,Aston Villa,0.0
63,Nick Pope,Newcastle,90.0
70,Jason Steele,Brighton,0.0
85,Caoimhin Kelleher,Liverpool,0.0
88,Adrián San Miguel del Castillo,Liverpool,0.0
94,Alisson Ramses Becker,Liverpool,90.0
97,Karl Hein,Arsenal,0.0
111,Tom McGill,Brighton,0.0
137,David Raya Martin,Arsenal,90.0
140,Kjell Scherpen,Brighton,0.0
146,Rúnar Alex Rúnarsson,Arsenal,0.0
154,Aaron Ramsdale,Arsenal,0.0
158,Bart Verbruggen,Brighton,90.0
168,Guglielmo Vicario,Spurs,90.0
181,Scott Carson,Man City,0.0
195,Alfie Whiteman,Spurs,0.0
198,Ederson Santana de Moraes,Man City,90.0
200,Hugo Lloris,Spurs,0.0
210,Fraser Forster,Spurs,0.0
216,Stefan Ortega Moreno,Man City,0.0
218,Brandon Austin,Spurs,0.0
220,Zack Steffen,Man City,0.0
232,Ellery Balcombe,Brentford,0.0
233,Matthew Cox,Brentford,0.0
257,Mark Flekken,Brentford,45.0
258,Thomas Strakosha,Brentford,45.0
263,Joseph Anang,West Ham,0.0
264,Lukasz Fabianski,West Ham,0.0
281,Alphonse Areola,West Ham,90.0
301,Marcus Bettinelli,Chelsea,0.0
304,Tom King,Wolves,0.0
305,Daniel Bentley,Wolves,0.0
307,José Malheiro de Sá,Wolves,90.0
311,Kepa Arrizabalaga,Chelsea,0.0
322,Matija Šarkić,Wolves,0.0
327,Robert Sánchez,Chelsea,90.0
334,Lucas Bergström,Chelsea,0.0
347,Andy Lonergan,Everton,0.0
370,João Neves Virgínia,Everton,0.0
373,Gabriel Słonina,Chelsea,0.0
380,Jordan Pickford,Everton,90.0
396,André Onana,Man Utd,90.0
420,Tom Heaton,Man Utd,0.0
424,Wayne Hennessey,Nott'm Forest,0.0
444,Jack Walton,Luton,0.0
454,Ethan Horvath,Nott'm Forest,0.0
462,Thomas Kaminski,Luton,90.0
484,George Shelvey,Nott'm Forest,0.0
493,Lawrence Vigouroux,Burnley,0.0
496,James Shea,Luton,0.0
499,Matt Turner,Nott'm Forest,0.0
501,Arijanet Muric,Burnley,0.0
502,Matt Macey,Luton,0.0
504,James Trafford,Burnley,90.0
514,Bailey Peacock-Farrell,Burnley,0.0
542,Mark Travers,Bournemouth,0.0
543,Darren Randolph,Bournemouth,0.0
546,Denis Franchi,Burnley,0.0
550,Norberto Murara Neto,Bournemouth,0.0
568,Ionuț Radu,Bournemouth,90.0
570,Dean Henderson,Crystal Palace,0.0
571,Vicente Guaita,Crystal Palace,0.0
617,Remi Matthews,Crystal Palace,0.0
618,Bernd Leno,Fulham,90.0
619,Joe Whitworth,Crystal Palace,0.0
627,Sam Johnstone,Crystal Palace,90.0
628,Marek Rodák,Fulham,0.0
637,Jordan Amissah,Sheffield Utd,0.0
650,Wes Foderingham,Sheffield Utd,90.0
655,Adam Davies,Sheffield Utd,0.0
660,Filip Marschall,Aston Villa,0.0
666,Altay Bayindir,Man Utd,0.0
678,Djordje Petrovic,Chelsea,0.0
679,Eddie Beach,Chelsea,0.0
707,Odysseas Vlachodimos,Nott'm Forest,90.0
708,Oliwier Zych,Aston Villa,0.0
709,Radek Vítek,Man Utd,0.0
716,Steven Benda,Fulham,0.0
717,Tim Krul,Luton,0.0
