,name,team,minutes
0,Jason Steele,Brighton,0.0
11,Bart Verbruggen,Brighton,90.0
17,Kjell Scherpen,Brighton,0.0
28,Tom McGill,Brighton,0.0
53,Loris Karius,Newcastle,0.0
56,Karl Darlow,Newcastle,0.0
70,Viljami Sinisalo,Aston Villa,0.0
85,Robin Olsen,Aston Villa,0.0
90,Emiliano Martínez Romero,Aston Villa,90.0
95,Nick Pope,Newcastle,90.0
96,Mark Gillespie,Newcastle,0.0
98,Martin Dubravka,Newcastle,0.0
109,Guglielmo Vicario,Spurs,90.0
111,Hugo Lloris,Spurs,0.0
112,Ederson Santana de Moraes,Man City,90.0
122,Alfie Whiteman,Spurs,0.0
123,Scott Carson,Man City,0.0
142,Fraser Forster,Spurs,0.0
144,Zack Steffen,Man City,0.0
146,Stefan Ortega Moreno,Man City,0.0
162,Brandon Austin,Spurs,0.0
174,Alisson Ramses Becker,Liverpool,90.0
178,Adrián San Miguel del Castillo,Liverpool,0.0
189,Caoimhin Kelleher,Liverpool,0.0
191,Karl Hein,Arsenal,0.0
205,Rúnar Alex Rúnarsson,Arsenal,0.0
217,David Raya Martin,Arsenal,90.0
225,Aaron Ramsdale,Arsenal,0.0
228,Joseph Anang,West Ham,0.0
242,Alphonse Areola,West Ham,90.0
249,Lukasz Fabianski,West Ham,0.0
257,Ellery Balcombe,Brentford,0.0
264,Mark Flekken,Brentford,0.0
265,Thomas Strakosha,Brentford,90.0
288,Matthew Cox,Brentford,0.0
312,Arijanet Muric,Burnley,0.0
315,James Trafford,Burnley,90.0
321,Bailey Peacock-Farrell,Burnley,0.0
322,Lawrence Vigouroux,Burnley,0.0
330,George Shelvey,Nott'm Forest,0.0
335,Matija Šarkić,Wolves,0.0
353,Matt Turner,Nott'm Forest,90.0
375,Tom King,Wolves,0.0
381,Daniel Bentley,Wolves,0.0
384,Ethan Horvath,Nott'm Forest,0.0
386,Wayne Hennessey,Nott'm Forest,0.0
398,José Malheiro de Sá,Wolves,90.0
410,Vicente Guaita,Crystal Palace,0.0
414,André Onana,Man Utd,90.0
417,Andy Lonergan,Everton,0.0
427,Sam Johnstone,Crystal Palace,90.0
435,Matt Macey,Luton,0.0
441,Robert Sánchez,Chelsea,90.0
449,Thomas Kaminski,Luton,90.0
450,Remi Matthews,Crystal Palace,0.0
452,Tom Heaton,Man Utd,0.0
454,Denis Franchi,Burnley,0.0
464,Joe Whitworth,Crystal Palace,0.0
472,Jordan Pickford,Everton,90.0
473,João Neves Virgínia,Everton,0.0
477,Kepa Arrizabalaga,Chelsea,0.0
487,Jack Walton,Luton,0.0
498,James Shea,Luton,0.0
521,Marcus Bettinelli,Chelsea,0.0
526,Dean Henderson,Crystal Palace,0.0
542,Mark Travers,Bournemouth,0.0
548,Norberto Murara Neto,Bournemouth,90.0
557,Darren Randolph,Bournemouth,0.0
558,Adam Davies,Sheffield Utd,0.0
568,Ionuț Radu,Bournemouth,0.0
578,Jordan Amissah,Sheffield Utd,0.0
587,Wes Foderingham,Sheffield Utd,90.0
597,Gabriel Słonina,Chelsea,0.0
628,Lucas Bergström,Chelsea,0.0
632,Marek Rodák,Fulham,0.0
635,Bernd Leno,Fulham,90.0
